Value,Line,Trace
907.665494,0,0
909.417595,0,1
910.341714,0,2
911.234798,0,3
912.413949,0,4
913.896189,0,5
914.989298,0,6
915.366258,0,7
915.259577,0,8
915.241092,0,9
915.34525,0,10
914.423685,0,11
913.816085,0,12
912.76025,0,13
911.30535,0,14
909.3606,0,15
907.954973,0,16
905.66169,0,17
904.092628,0,18
902.392908,0,19
900.802338,0,20
898.470891,0,21
896.967479,0,22
896.257585,0,23
895.739338,0,24
895.44401,0,25
895.090704,0,26
895.011092,0,27
895.414848,0,28
895.688923,0,29
896.180161,0,30
896.64967,0,31
897.153591,0,32
898.02528,0,33
899.160049,0,34
899.790245,0,35
900.33987,0,36
900.755178,0,37
901.877847,0,38
902.571143,0,39
903.177965,0,40
903.958209,0,41
906.588971,0,42
909.541383,0,43
909.346139,0,44
909.344512,0,45
908.976151,0,46
908.469342,0,47
907.343059,0,48
905.872632,0,49
904.693509,0,50
904.30226,0,51
904.541375,0,52
904.858498,0,53
905.390911,0,54
908.240436,0,55
909.945069,0,56
910.966775,0,57
911.74903,0,58
912.674399,0,59
913.325949,0,60
913.323836,0,61
913.080189,0,62
912.877613,0,63
914.287333,0,64
915.231255,0,65
916.062847,0,66
917.302191,0,67
919.202076,0,68
919.592643,0,69
920.246315,0,70
920.642964,0,71
921.092431,0,72
922.424751,0,73
923.240155,0,74
924.203194,0,75
924.880272,0,76
925.639975,0,77
925.624124,0,78
925.947989,0,79
927.52177,0,80
928.71168,0,81
929.602183,0,82
930.266791,0,83
930.715083,0,84
930.684305,0,85
932.200852,0,86
932.542771,0,87
933.373958,0,88
933.684506,0,89
933.496639,0,90
934.257854,0,91
935.033203,0,92
935.677387,0,93
936.000282,0,94
936.666351,0,95
937.298115,0,96
937.433879,0,97
933.589202,0,98
931.895112,0,99
931.628697,0,100
933.5277,0,101
935.687051,0,102
936.266482,0,103
936.793068,0,104
937.234706,0,105
938.58641,0,106
938.940707,0,107
938.799488,0,108
939.004538,0,109
939.033274,0,110
939.144547,0,111
939.397756,0,112
939.801788,0,113
940.283709,0,114
940.539058,0,115
940.921249,0,116
941.160389,0,117
941.619649,0,118
941.801492,0,119
941.96076,0,120
941.530635,0,121
941.070398,0,122
940.816859,0,123
941.172014,0,124
942.621979,0,125
943.331647,0,126
943.706015,0,127
943.875055,0,128
944.091004,0,129
944.494871,0,130
944.687843,0,131
944.488418,0,132
944.174362,0,133
943.774098,0,134
943.117555,0,135
943.306453,0,136
942.112787,0,137
943.234582,0,138
943.301943,0,139
943.361496,0,140
943.362424,0,141
943.422398,0,142
943.861179,0,143
944.298118,0,144
944.938067,0,145
945.812291,0,146
946.453306,0,147
946.997628,0,148
947.504948,0,149
947.999307,0,150
948.715332,0,151
948.797033,0,152
949.794227,0,153
950.724576,0,154
951.641872,0,155
952.196941,0,156
952.608335,0,157
952.974099,0,158
953.554571,0,159
954.252026,0,160
954.899014,0,161
955.244475,0,162
955.552672,0,163
955.885931,0,164
956.132868,0,165
956.080263,0,166
956.41551,0,167
957.279993,0,168
958.010725,0,169
958.593094,0,170
958.69066,0,171
